movieId, title, score, supporters
318, "Shawshank Redemption, The (1994)", 1495, 47
593, "Silence of the Lambs, The (1991)", 1462, 46
1198, "Raiders of the Lost Ark (1981)", 1457, 46
1210, "Star Wars: Episode VI - Return of the Jedi (1983)", 1432, 45
1196, "Star Wars: Episode V - The Empire Strikes Back (1980)", 1431, 45
1307, "When Harry Met Sally... (1989)", 1429, 45
953, "It's a Wonderful Life (1946)", 1382, 43
2396, "Shakespeare in Love (1998)", 1374, 43
1393, "Jerry Maguire (1996)", 1366, 43
1784, "As Good As It Gets (1997)", 1366, 43
1291, "Indiana Jones and the Last Crusade (1989)", 1354, 43
2858, "American Beauty (1999)", 1342, 42
34, "Babe (1995)", 1338, 42
3471, "Close Encounters of the Third Kind (1977)", 1336, 42
356, "Forrest Gump (1994)", 1317, 41
1259, "Stand by Me (1986)", 1314, 41
364, "Lion King, The (1994)", 1314, 41
1617, "L.A. Confidential (1997)", 1313, 41
589, "Terminator 2: Judgment Day (1991)", 1300, 41
50, "Usual Suspects, The (1995)", 1282, 40
